model,DOI,Article Title,Label,baseline_prediction,methods_prediction,baseline_input_tokens,methods_input_tokens,token_delta,baseline_generated_tokens,methods_generated_tokens,baseline_elapsed_seconds,methods_elapsed_seconds,elapsed_delta_seconds,baseline_peak_allocated_mb,methods_peak_allocated_mb,peak_allocated_delta_mb,baseline_peak_reserved_mb,methods_peak_reserved_mb,peak_reserved_delta_mb
Qwen/Qwen3.5-9B,10.1016/j.envres.2023.116545,Life cycle assessment of sequential microbial-based anaerobic-aerobic reactor technology developed onsite for treating textile effluent,1,1,1,566,1024,458,4,4,2.5772149777039886,0.5005633123219013,-2.0766516653820872,7506.744140625,7606.013671875,99.26953125,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.spc.2015.07.007,Life cycle assessment of technologies for partial dealcoholisation of wines,1,1,1,534,1024,490,4,4,0.49860195303335786,0.4997993381693959,0.001197385136038065,7503.7255859375,7606.013671875,102.2880859375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2020.110512,Environmental life cycle comparisons of pig farming integrated with anaerobic digestion and algae-based wastewater treatment,1,1,1,544,1024,480,4,4,0.4523602263070643,0.48792497999966145,0.03556475369259715,7504.66748046875,7606.013671875,101.34619140625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2014.01.052,Environmental life cycle assessment of different domestic wastewater streams: Policy effectiveness in a tropical urban environment,1,1,1,667,1024,357,4,4,0.5365329058840871,0.5639209663495421,0.027388060465455055,7532.291015625,7606.013671875,73.72265625,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2018.04.171,"Comparative life cycle assessment of sludge management: A case study of Xiamen, China",1,1,1,589,1024,435,4,4,0.4626707322895527,0.49292501900345087,0.030254286713898182,7516.923828125,7606.013671875,89.08984375,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.powtec.2022.118153,Adsorptive remediation of azo dye contaminated wastewater by ZnCl2 modified bio-adsorbent: Batch study and life cycle assessment,1,1,1,472,1024,552,4,4,0.4350382168777287,0.5030853059142828,0.0680470890365541,7489.86572265625,7606.013671875,116.14794921875,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2013.01.019,"Life cycle GHG emissions of sewage sludge treatment and disposal options in Tai Lake Watershed, China",1,1,1,543,1024,481,4,4,0.44337332900613546,0.5220203418284655,0.07864701282233,7504.57373046875,7606.013671875,101.43994140625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2021.112361,Coupling ecological wastewater treatment with the production of livestock feed and irrigation water provides net benefits to human health and the environment: A life cycle assessment,1,1,1,561,1024,463,4,4,1.9405342219397426,0.5206956621259451,-1.4198385598137975,7506.27392578125,7606.013671875,99.73974609375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2020.125067,Life cycle assessment of powder and micro-grain activated carbon in a fluidized bed to remove micropollutants from wastewater and their comparison with ozonation,1,1,1,754,1024,270,4,4,0.5007449989207089,0.49431088380515575,-0.006434115115553141,7548.5078125,7606.013671875,57.505859375,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.algal.2016.08.008,Spatially Explicit Life Cycle Assessment: Opportunities and challenges of wastewater-based algal biofuels in the United States,1,1,1,666,1024,358,4,4,2.021996523719281,0.491310553625226,-1.530685970094055,7532.197265625,7606.013671875,73.81640625,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2016.12.007,In quest of environmental hotspots of sewage sludge treatment combining anaerobic digestion and mechanical dewatering: A life cycle assessment approach,1,1,1,560,1023,463,4,4,0.4531127349473536,0.49245411390438676,0.03934137895703316,7506.1767578125,7605.919921875,99.7431640625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.chemosphere.2020.126139,Heterogeneous Fenton oxidation of trichloroethylene catalyzed by sewage sludge biochar: Experimental study and life cycle assessment,1,1,1,540,1024,484,4,4,1.9196479278616607,0.49536954471841455,-1.4242783831432462,7504.291015625,7606.013671875,101.72265625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.wmb.2023.12.006,"Life cycle assessment of a common effluent treatment plant: Case study of Mahad, India",1,1,1,576,1024,448,4,4,0.44419645611196756,0.4892304907552898,0.04503403464332223,7507.68603515625,7606.013671875,98.32763671875,7522.0,7624.0,102.0
