Abstract,Choose,Article Title
"In the European Union, energy consumption in agriculture and forestry is less intense than in other economic sectors. However, fossil and non-renewable sources, particularly oil, are predominant, with higher percentages than in different economic sectors. In this context, this study aims to compare the environmental impact generated by equine and mechanical traction for viticulture practices in an organic production context, using life cycle assessment (LCA). Three scenarios were considered: business as usual (i.e., tractor-grown grapes) and horse-grown grapes but with two feeding options (tractor-grown hay and horse-grown hay). The results show that the tractor-grown grape scenario has higher impacts in five impact categories whereas the horse-grown scenario shows higher Global Warming, and to a minor extent Land use. Specifically, the worst results of the control scenario are in the mid-point category of Inorganic Respiratory due to fuel use, which produces P M 2.5. Fuel use is also the cause of the highest environmental burdens in other categories such as terrestrial Ecotoxicity. A sensitive analysis of the results was performed considering the endpoint damage categories. The outcomes show that, in general, the impact of horses is quite stable even under potentially different conditions. Some categories (ecosystem quality, global impact) are only slightly affected by variation in growth time, while all other categories (human health, resources, climate change) experience greater variation.",1.0,Environmental impact assessment of horse and mechanical traction for vineyard cultivation
"In the latter half of the twentieth century, particularly in developed countries, a growing awareness of the environmental impact of personal choices-encompassing climate, pollution, land degradation, and biodiversity loss-resulted in an upsurge of environmental labels on goods. Environmental labels play a crucial role in assisting consumers in selecting environmentally superior products, fostering market development towards eco-friendly production systems, and serving as a foundation for product differentiation and increased product value. Despite a growing public interest in environmental quality and climate change, surveys reveal a gap between consumers' environmental attitudes and actual purchasing behaviour. In addition, concerns about the complexity and cost of certification systems have arisen, with fears of creating market barriers for small producers. This review aims to provide an overview of environmental labelling in the context of animal food products, emphasising social and regulatory aspects, exploring technical considerations of life cycle thinking approaches in certification schemes, and discussing the pros and cons of standardising procedures for the development of multi-dimensional environmental labelling in the animal food sector. Increasing environmental awareness in the context of animal food production has led to a proliferation of environmental labels on goods.Environmental labelling guides consumers to choose eco-friendly products, driving market development, facilitating product differentiation, and enhancing goods' value-integral to the broader shift towards sustainable production systems.Concerns exist regarding the complexity and cost of certification systems, potentially creating market barriers for small producers and companies.",0.0,State of the art and challenges in the environmental labelling for animal food products
"In the decades since their discovery in plants in the mid-to-late 1900s, melatonin (N-acetyl-5-methoxytryptamine) and serotonin (5-methoxytryptamine) have been established as their own class of phytohormone and have become popular targets for examination and study as stress ameliorating compounds. The indoleamines play roles across the plant life cycle from reproduction to morphogenesis and plant environmental perception. There is growing interest in harnessing the power of these plant neurotransmitters in applied and agricultural settings, particularly as we face increasingly volatile climates for food production; however, there is still a lot to learn about the mechanisms of indoleamine action in plants. A recent explosion of interest in these compounds has led to exponential growth in the field of melatonin research in particular. This concept paper aims to summarize the current status of indoleamine research and highlight some emerging trends.",0.0,"Views and perspectives on the indoleamines serotonin and melatonin in plants: past, present and future"
"Two important but conflicting goals in Turkey's energy policy have been ensuring energy security through increased indigenous energy resource utilization and meeting the 2053 net zero emission commitment. Based on this, this work explores emission mitigation pathways for Turkey's electricity system through circularity approaches of CO2 utilization and framework material recycling (FMR). Using mathematical models, eight life cycle impact potentials are evaluated including global warming potential (GWP). The extended impact on steel and agricultural production was also examined in the Green Deal context. The circularity approaches investigated showed that the GWP of Turkey's wind, solar, and lignite energy sources reduce from the base values of 7.3 gCO(2)eq./kWh, 29.5 gCO(2)eq./kWh and 1130 gCO(2)eq./kWh to 2.72 gCO(2)eq./kWh, 21.08 gCO(2)eq./kWh and 241.26 gCO(2)eq./kWh, respectively. Fifty percent recycling ratio is also determined as the optimum for CO2 utilization and FMR. With this ratio, 21.84% CO2 emission reduction corresponding to 0.083 GT annual CO2 savings is achieved in the Turkish electricity mix. The decarbonization of electricity results in 25.0% and 27.0% GWP impact reductions in the agricultural and steel sectors, respectively. Hence, the decarbonization of electricity mix can significantly ease the negative impacts of the Green Deal on Turkey's economy. Additionally, promoting and increasing the share of renewable energy sources in the electricity mix can further enhance these environmental benefits.",0.0,Transforming Turkish electricity system in the context of circular economy and green deal: impacts on steel and agricultural production
"Peanuts are traditionally cultivated in Southeast Brazil during the rotation of sugarcane fields. This type of crop management is carried out to increase organic matter and magnesium in the soil and provide N through biological fixation. In literature, there is a lack of life cycle assessment (LCA) of peanuts cultivated in Brazil. It is shown that these impacts are considerably different from other countries, since Brazil has specific conditions such as, lower use of fertilizers, higher productivity and the use of biodiesel/diesel blend. Therefore, the LCA of the cultivation of peanuts in sugarcane renovation areas is herein assessed. The LCA utilized CML-IA baseline characterization factors. Emissions from crop residues, lime, fertilizers, and fuel burnt by agricultural machinery were estimated. The scope boundaries were cradle-to-gate. As a result, peanut cultivation in the sugarcane renovation area in Brazil has a lower impact than crops in Florida, USA, in most of the categories assessed. Abiotic depletion from fossil fuels (MJ/kg) in Brazil is estimated at 5.10 using B10 (10% biodiesel fuel) and 3.55 using B100 (pure biodiesel), compared to 10.12 with B0 (pure fossil diesel) in Florida. GWP-100 (kg CO2-eq/kg) is 6.1910- 1 for B10, 5.2410- 1 for B100, compared to 1.115 for B0 in Florida. Fertilization is the main source of impact in most of the categories studied. Replacing fossil diesel with bio-based fuels such as biodiesel could reduce the carbon footprint. Additionally, reducing the impact of fertilization would be an important drive for low-C peanut crops.",1.0,Life cycle assessment of peanut production in sugarcane renovation areas in southeast Brazil
"In recent years, the need to reduce fossil fuel consumption has triggered a push towards alternative solutions for more sustainable vehicles. This trend is stimulated by increasingly stringent regulations aimed at reducing greenhouse gas (GHG) emissions in the transportation sector. However, in agriculture, the adoption of zero- emission vehicles (ZEVs) is not aligned with the trends seen in other sectors due to technological barriers. Currently, only a few prototypal solutions for hybrid tractors have emerged due to their advantages in battery size, weight, and cost compared to fully electric solutions. In the literature, few studies have examined the environmental performance of hybrid electric tractors (HETs), mainly comparing them to conventional models in terms of work performance. Conversely, the user perspective is scarcely addressed although users' needs vary significantly depending on farm dimensions and cultivation types. The study proposes an analysis of the environmental impact of a hybrid solution by comparing it with a diesel engine Stage V and one produced under the Stage IIIb requirements. The novelty of this paper results from combining the life cycle assessment (LCA) outputs with a scenario modelling framework to uncover the potential environmental impact of the three models considering different use scenarios. Such an approach goes beyond traditional LCA analyses by providing more detailed information on the practical environmental implications related to these propulsion units. The results show that depending on the user scenario, the hybrid solution is not always the least pollutant, thus requiring further research in the HET sector to better tailor technical solutions based on the target customer.",0.0,Hybrid solutions for agricultural vehicles: A comparative life cycle analysis from the users' standpoint
"Corn stover, as an abundant agricultural residue, has not been well reutilized due to the lack of efficient utilization methods. Based on micro/nanoscale structure design of corn stover, we report an environmentally friendly strategy to prepare micro/nanostructured corn stover-based building blocks. Then, through the directed deformation assembly approach, a high value-added corn stover structural material (CSSM) that with higher strength and more excellent thermal stability than most widely used plastics and wood-plastic composites can be prepared. The entire production process is green and economical, and the life cycle assessment (LCA) results indicate that it is a low-carbon emission, sustainable material. Moreover, CSSM can be composed with nanoscale building blocks to achieve multifunctionality. For example, by incorporating carbon nanotubes, we prepare a corn stover structural material with Joule-heating effects for indoor thermal management. This broadens the range of applications for corn stover-based structural materials.",0.0,Sustainable High-Performance Structural Materials from Micro/nanostructured Corn Stover
"In the last decades, plastic containers have been used to store pesticides, herbicides, and fertilizers by the agricultural industry. Once these are used, these containers imply an environmental risk due to their wrong disposal in ravines, bodies of water, municipal garbage dumps, roads, or even through incineration. Actions lead to negative ecological impacts, such as water bodies poisoning, visual pollution, and atmospheric pollution. Nevertheless, the revalorization of these containers could offer an opportunity to promote sustainable practices. Therefore, this study quantified the environmental impacts of four final disposal pathways of one ton of this waste. The environmental impact was obtained by conducting a life cycle assessment. The results indicate that the most favorable scenario involves using 70% of waste to produce bio-jet fuel and 30% to produce pellets, reaching 0.0262 DALYs of damage in the human health category, 0.6282 PDF-m2-y in the ecosystems quality, and 0.0183 MJ in resource use.",0.0,Sustainable planning of empty agrochemical containers valorization
"Promoting a sustainable economy through the digital and ecological transition of companies is one of the challenges of our century. Digital promises to reduce the ecological footprint of the agricultural sector by improving processes along the agri-food supply chains and enhancing the data generated in every single area of the value chain. One of the aims of the present research was to monitor farms in Southern Italy with the intention to evaluate the use in farm of digital technologies. A second aim was to estimate the environmental impacts and the social cost of pollution of different agricultural systems to identify the weak points in the cultivation phase. Then, more sustainable lines of intervention and alternatives in a green transition perspective were proposed. The study was carried out in three Italian regions of south of Italy and 46 cropping systems were analyzed and compared using the Life Cycle Methodology. According to the results, to date, only two farmers interviewed have started to adopt digital technologies. The comparison among the cultivation systems highlighted the greater sustainability of the organic ones. Those cropping systems characterized by a low use of resources and inputs, such as olive and hazelnut systems, were more sustainable than others. On the contrary, other systems had greater impacts due to the use of considerable quantities of materials (especially support and covering structures, as in table grapes systems, or plastic containers, as in strawberry systems). The disaggregation of the impacts by agricultural operations, in low material use systems, showed that the greatest impacts were due to fuel emissions, especially during the harvesting phase, and to fertilization and disease control. Hence, the need to increase organic cultivation and to carry out fertilizations using, instead of empirical approaches, modern digital and precision agriculture technologies able to consume fewer resources, reduce waste, and improve the quality of life.",1.0,How environmentally sustainable are farms? An analysis in Southern Italy through the Life Cycle Assessment methodology
"The life cycle greenhouse gas (GHG) emissions of biofuels depend on uncertain estimates of induced land use change (ILUC) and subsequent emissions from carbon stock changes. Demand for oilseed-based biofuels is associated with particularly complex market and supply chain dynamics, which must be considered. Using the global partial equilibrium model GLOBIOM, this study explores the uncertainty in market-mediated impacts and ILUC-related emissions from increasing demand for soybean biodiesel in the United States in the period 2020-2050. A one-at-a-time (OAT) analysis and a Monte Carlo (MC) analysis are performed to assess the sensitivity of modeled ILUC-GHG emissions intensities (gCO2e/MJ) to varying key economic and biophysical model parameters. Additionally, the influence of the approach on the simulation of future ILUC effects is explored using two alternative ILUC-GHG metrics: a comparative-static approach for 2030 and a recursive-dynamic approach using model outputs through 2050. We find that projected ILUC-GHG values largely vary based on which vegetable oils replace diverted soybean oil, market responses to coproducts, and the carbon content of land converted for agricultural use. These are all, in turn, subject to decision uncertainty through the choice of the modeling approach and the time horizon considered for each ILUC-GHG metric. Given the longer simulation period, ILUC-GHG emission uncertainty ranges increase under the recursive-dynamic approach (42.4 +/- 25.9 gCO2e/MJ) compared to the comparative-static approach (40.8 +/- 20.5 gCO2e/MJ). The combination of MC analysis with other techniques such as Bayesian Additive Regression Trees (BART) is powerful for understanding model behavior and clarifying the sensitivity of market responses, ILUC, and associated GHG emissions to specific model parameters when simulated with global economic models. The BART reveals that biophysical parameters generate more linear ILUC-GHG responses to changes in assumed parameter values while changes in economic parameters lead to more nonlinear ILUC-GHG results as multiple effects at the interplay of food, feed, and fuel uses overlap. The choice of the recursive-dynamic metric allows capturing the longer-term evolution of ILUC while generating additional uncertainties derived from the baseline definition.",0.0,Understanding Uncertainty in Market-Mediated Responses to US Oilseed Biodiesel Demand: Sensitivity of ILUC Emission Estimates to GLOBIOM Parametric Uncertainty
