Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,LCA_prediction,LCA_raw_response,LCA_elapsed_s,abstract_missing
J,"Köck, B; Spatt, P; Archodoulaki, VM; Mihalyi-Schneider, B",,,,"Kock, Bianca; Spatt, Philipp; Archodoulaki, Vasiliki-Maria; Mihalyi-Schneider, Bettina",,,Life cycle inventory data generation for yogurt packaging in Austria,CLEANER ENVIRONMENTAL SYSTEMS,,,,Article,,,,,,,,"This study addresses a critical gap in life cycle assessment (LCA) data for yogurt packaging within the Austrian market, emphasizing the need for accurate, localized information on packaging materials, transport distances, and end-of-life processes. Through detailed measurements of yogurt cup weights, material compositions, and packaging configurations, this research provides foundational data that enhance the precision of LCAs specific to Austria. Key findings reveal that yogurt cups in Austria are primarily made from polypropylene (PP) and polystyrene (PS), with notable variations in weight and sleeve types across different filling sizes, including paper- sleeved and non-sleeved options. This offers valuable insights for optimizing packaging design in line with circular economy and Green Deal goals. By supplying robust, Austria-specific Life Cycle Inventory (LCI) data, this study supports targeted strategies for material efficiency and sustainability in yogurt packaging, ultimately aligning with broader EU objectives for waste reduction and resource conservation.",,,,,,,,,,,,,,,,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,,,,,JUN,2025,17.0,,,,,,,,100271,10.1016/j.cesys.2025.100271,0,,MAR 2025,,,,,0VZ1X,,,,,,WOS:001457330500001,0,1,1,6.08,False
J,"Zhang, CY; Su, CZ; Hu, SL; Li, L; Li, X",,,,"Zhang, Chengyu; Su, Chuanzhen; Hu, Shulan; Li, Lei; Li, Xian",,,Environmental and life cycle assessment of organic Rankine cycle technology for industrial waste heat recovery,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,,,,Article,,,,,,,,"Industrial waste heat recovery offers a significant opportunity to improve energy efficiency and reduce emissions, supporting carbon neutrality and sustainable development. Among various technologies, the organic Rankine cycle (ORC) stands out as a leading technology to exploit low-to-medium temperature heat sources for power generation. While the technical and economic aspects of ORC technology have been extensively studied, research on its sustainability profiles remains fragmented in the literature. This study provides a structured and comprehensive review of life cycle assessment (LCA) research on ORC systems in industrial applications. By systematically analyzing methodological choices such as functional units, system boundaries, inventory data, and impact assessment approaches, this review identifies key inconsistencies, research gaps, and sources of environmental burden across diverse industrial heat sources. The analysis reveals that component material composition, particularly of turbines and heat exchangers, and the choice of working fluids (e.g., low-GWP alternatives) significantly influence lifecycle impacts. It also emphasizes that cycle layout and system configuration can critically affect environmental outcomes. This work integrates fragmented LCA knowledge on ORC technology and proposes future research directions focused on standardized evaluation frameworks, improved data transparency, and sustainability-oriented system design. The findings offer practical guidance for researchers, policymakers, and engineers to improve the environmental and economic viability of ORC-based waste heat recovery solutions.",,,,,,,,,,,,,,,,ELSEVIER SCI LTD,London,"125 London Wall, London, ENGLAND",,,,,,OCT,2025,13.0,5,,,,,,,117758,10.1016/j.jece.2025.117758,0,,JUL 2025,,,,,4QY2E,,,,,,WOS:001524558300015,0,1,1,2.35,False
J,"Vyrkou, A; Aryblia, M; Savvakis, N; Nicacio, I; Siddique, O; Arampatzis, G; Angelis-Dimakis, A",,,,"Vyrkou, Antonia; Aryblia, Maria; Savvakis, Nikolaos; Nicacio, Ingrid; Siddique, Owais; Arampatzis, George; Angelis-Dimakis, Athanasios",,,Dynamic vs real time life cycle assessment,CLEANER ENVIRONMENTAL SYSTEMS,,,,Article,,,,,,,,"The term conventional or static Life Cycle Assessment (LCA) is used to describe the traditional application of LCA for the environmental impact assessment of a given instance of a system, to differentiate it from the recently developed Dynamic Life Cycle Assessment (DLCA). The latter is defined as monitoring and assessing the environmental performance of a continuously changing system. However, the term dynamic has been interpreted differently in various studies, with the temporal aspect of the analysis being satisfied either with the use of timeseries of (historical/predicted) data or with a real-time data collection for the system in question. The focus of this review paper is: (a) to examine the implementation of DLCA by findings common themes, differences and challenges in its application to different sectors, and (b) identify and highlight the differences between dynamic assessment and real-time assessment. The review has shown that in the last five years the published literature has grown, with the annual number of articles increasing from less than 30 (between 2015 and 2019) to 62 in 2023. In terms of the traditional LCA steps, the Dynamic Process Inventory is usually populated eiterh (a) with historical data for certain elementary flows and/or (b) using alternative scenarios for selected elementary flows. Dynamic Characterisation is only needed when the time horizon is longer than a decade, while Dynamic Systems had been mostly implemented in correlation with the Building Information Model (BIM). The sectors where DLCA has been predominantly used are: (a) buildings; (b) waste treatment and management; (c) agriculture; and (d) utilities (i.e. energy production and water supply). On the contrary, the term real-time LCA is rarely used, with only a handful of published papers referring to it, but none of these implemented in a real-life industrial system. Although several studies agree that real-time assessment leads to improved accuracy, better insight to the process and time savings in the analysis, the effort required to implement it and the added value to the industrial plant, does not currently justify its wider implementation. However, in the era of Industry 4.0 and the digitization of industrial plants, there is an opportunity to incorporate the environmental impact assessment in the continuous monitoring of process industries.",,,,,,,,,,,,,,,,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,,,,,SEP,2025,18.0,,,,,,,,100296,10.1016/j.cesys.2025.100296,0,,JUL 2025,,,,,4ZS2M,,,,,,WOS:001530518400001,0,1,1,3.58,False
J,"Engelfried, T; Cucurachi, S; Lavidas, G",,,,"Engelfried, Tabea; Cucurachi, Stefano; Lavidas, George",,,Life cycle assessment of a point absorber wave energy converter,CLEANER ENVIRONMENTAL SYSTEMS,,,,Article,,,,,,,,"Harnessing wave energy from the oceans using wave energy converters (WECs) offers a huge opportunity to diversify Europe's future renewable energy system. Although the energy conversion of this pre-commercial technology is not directly linked to greenhouse gas emissions, environmental sustainability over the full life cycle needs to be ensured for a future-proof large-scale application of WECs. Therefore, we present a cradle-tograve full life cycle assessment (LCA) study for a generic point absorber WEC based on a fully transparent and adaptable life cycle inventory. Within the study we assess the environmental impacts of a single point absorber device, the influence of different hull materials, hotspots in the impacts of WEC components, and variations induced by different deployment locations. For a WEC deployed in the North Sea, we found a global warming impact of 300-325gCO2eq./kWh with periphery and 52-77gCO2eq./kWh without periphery, depending on the hull material. Using an alternative fibre-reinforced concrete material for the hull can reduce the impact across all categories by between 10% (marine eutrophication) and 78% (human toxicity, carcinogenic). In addition to the WEC itself we found that the electrical cable and vessel operations, particularly for maintenance, are significant contributors. These two elements will also be relevant to other marine renewables such as offshore wind and floating solar. Overall, this study shows potential for improving environmental impacts from WECs and identifies possible levers to achieve such a reduction.",,,,,,,,,,,,,,,,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,,,,,MAR,2025,16.0,,,,,,,,100265,10.1016/j.cesys.2025.100265,0,,FEB 2025,,,,,Z2N3R,,,,,,WOS:001437335200001,0,1,1,2.84,False
J,"Mori, M; Gramc, J; Hojkar, D; Lotric, A; Smeacetto, F; Fiorilli, S; Fiore, S; Stropnik, R",,,,"Mori, Mitja; Gramc, Jure; Hojkar, Domen; Lotric, Andrej; Smeacetto, Federico; Fiorilli, Sonia; Fiore, Silvia; Stropnik, Rok",,,New life cycle inventories for end-of-life solid oxide cells based on novel recycling processes for critical solid oxide cell materials,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,,,,Article,,,,,,,,"The study presents novel recycling processes for solid oxide cells as well as life cycle assessments (LCA) and life cycle inventory (LCI) analyses. A novel recovery process for the lanthanum-based materials lanthanum oxide and cobalt oxide from the End-of-Life recycling of SOC oxygen electrodes is described and evaluated. In addition, the recovery of yttria-stabilised zirconia and nickel oxide from end-of-life SOC fuel electrodes is presented. Both processes were analysed and a LCI is created for each recycling route. An environmental impact assessment is performed for each recovered material, hotspots and sub-processes are discussed and the results are presented in absolute and relative environmental impact indicator values. The results show that the amount and origin of electricity is one of the most important hotspots in the recycling processes alongside material recovery.",,,,,,,,,,,,,,,,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,,,,,FEB 28,2025,104.0,,,,,,635.0,650.0,,10.1016/j.ijhydene.2024.08.411,0,,FEB 2025,,,,,Y7E9M,,,,,,WOS:001433720500001,0,1,1,1.78,False
J,"Bednárová, S; Gibon, T; Benetto, E",,,,"Bednarova, Sabina; Gibon, Thomas; Benetto, Enrico",,,Time-aware life cycle inventories for electricity consumption,SOFTWAREX,,,,Article,,,,,,,,"Software package shrecc is designed to handle electricity mix data across European countries, using data from the Energy-Charts API. With an increasing share of renewable energy in electricity mixes, environmental impact varies by hour, day and season - which is not systematically accounted for in LCA. To remediate this, shrecc prepares live-tracked electricity data for use with the brightway package, enabling more accurate life cycle impact assessment (LCIA). Through a case study of electric vehicle charging, we demonstrate the importance of temporally granular data. Our findings reveal that relying on annual average electricity mixes can lead to both over- and underestimation of LCIA results, highlighting the need for more time-aware approaches in energy related life cycle assessments.",,,,,,,,,,,,,,,,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,,,,,DEC,2025,32.0,,,,,,,,102362,10.1016/j.softx.2025.102362,0,,SEP 2025,,,,,7RA5L,,,,,,WOS:001577614700001,0,1,1,1.77,False
J,"Aboagye, E; Longo, J; Conway, M; Pazik, J; Barkow, M; McMahon, M; Weil, B; Appiah, HD; Hesketh, R; Yenkie, KM",,,,"Aboagye, Emmanuel; Longo, Jared; Conway, Matt; Pazik, John; Barkow, Milo; McMahon, Marcella; Weil, Brendan; Appiah, Harriet Dufie; Hesketh, Robert; Yenkie, Kirti M.",,,Leveraging machine learning algorithms to predict life cycle inventory assessments (LCIA) to facilitate sustainable process design,COMPUTERS & CHEMICAL ENGINEERING,,,,Article,,,,,,,,"Life Cycle Assessment (LCA) is the methodology used to evaluate the environmental impacts of materials and services throughout their life cycle, which includes the production/manufacturing (cradle-to-gate (C2G)) phase, use (gate-to-gate (G2G)) phase, and discard (gate-to-grave (G2G)) or recycle (gate-to-cradle (G2C)) phases. The overall LCA from the manufacturing to end-of-life (cradle-to-cradle (C2C)) impact assessment requires Life Cycle Inventory (LCI) in several impact categories such as human health, global warming potential, resource consumption, and ecosystem quality. The life cycle inventories (LCI) for new chemicals and process technologies are not readily available in the early stages of process design. However, these are required to assess if the novel chemicals and alternate technologies are eco-friendly, have long-term sustainability, and are safer when implemented at large scales. Determining these via conventional methods of laboratory experimentation, pilotscale studies, computationally intensive molecular simulations, and group contribution methods can be timeconsuming. To this end, we propose Machine Learning (ML) approaches whereby LCIs can be predicted from data collected in the exploratory stage of process development such as physiochemical, molecular, and structural properties of chemicals as input features. These input features are readily available in well-established chemical databases or can be measured via laboratory experimental techniques. Through ML-based predictive algorithms such as neural networks and extreme gradient boosting, we can generate the LCI data in different categories as output labels. To demonstrate the utility of these ML-predicted LCI values in enabling a full cradle-to-cradle LCA, a case study is presented. This methodology could be easily adapted to other case studies for conducting an earlystage LCA, which shall enable the design of inherently sustainable processes.",,,,,,,,,,,,,,,,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,,,,,OCT,2025,201.0,,,,,,,,109217,10.1016/j.compchemeng.2025.109217,0,,JUN 2025,,,,,3QZ7X,,,,,,WOS:001506937400001,0,1,1,3.03,False
J,"Guyomarc'h, F; Scussat, S; Hermant, JE; Berton-Carabin, C; Anton, M; Gallardo-Guerrero, K; Saurel, R",,,,"Guyomarc'h, Fanny; Scussat, Simone; Hermant, Jean-Eudes; Berton-Carabin, Claire; Anton, Marc; Gallardo-Guerrero, Karine; Saurel, Remi",,,Life cycle inventories and environmental impact datasets for the semi-industrial processing of food Faba bean or Pea protein ingredients,DATA IN BRIEF,,,,Article,,,,,,,,"Thanks to their agronomical, nutritional and technological interests, pulses are very promising to reach the food-related sustainable development goals (SDG). In developed countries, they typically appear as good substitutes to animal proteins, thereby relieving livestock's environmental impacts of food systems. However, their share in the Western diet has dramatically declined throughout the 20th century. As a consequence, the release of public data regarding processed pulses is slower than for animal-based food products, while comprehensive comparative evaluation capabilities for animal and plant proteins are deemed necessary. Tremendous effort is therefore currently invested to support the reintroduction of pulses in agricultural practices and food innovations. In this way, life cycle assessment (LCA) is a standard method that quantifies the potential environmental impacts of a manufactured product. In compliance with ISO 14 040 principles and framework, this data paper provides life cycle inventory and life cycle assessment datasets related to the production of two different types of pulse protein ingredients: dry-fractionated protein concentrates from five faba bean varieties and one pea variety, and a wet-fractionated protein isolate from one of the five faba bean varieties. Processing was achieved at a semi-industrial scale using classical technologies used in France in the 2020s. Background data was chosen in the Agribalyse 3.1.1 and Ecoinvent 3.9 databases. In the presented semi-industrial protein concentrate production system, the seeds were sorted, cleaned, de-hulled then ground and turbo separated into a protein-rich and a starch-rich fractions. This data paper therefore provides the allocation factors to apply mass, dry matter, protein or economic allocation at dehulling and turbo separation. In the presented semi-industrial protein isolate production system, globulin proteins were extracted from an intermediate flour product by dispersion in water, acid precipitation, neutralization and stabilization into powder. All side streams were regarded as wastes and therefore no allocation was applied. Finally, the data paper provides the potential environmental impacts of 1 kg of each product using the characterization method EF 3.0 and the different allocation rules. (c) 2025 The Author(s). Published by Elsevier Inc. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/)",,,,,,,,,,,,,,,,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,,,,,DEC,2025,63.0,,,,,,,,112247,10.1016/j.dib.2025.112247,0,,NOV 2025,,,,,G2856,,,,,,WOS:001624389100001,0,1,1,3.82,False
J,"Nair, RR; Chougule, KM; Gomez, JC; Brand-Daniels, U",,,,"Nair, Rahul Ramesh; Chougule, Komal Mallesh; Gomez, Juan Camilo; Brand-Daniels, Urte",,,A generalized schema to publish and share life cycle inventories (LCI): Exemplary case of an aviation fuel supply chain,JOURNAL OF CLEANER PRODUCTION,,,,Article,,,,,,,,"Life cycle assessment (LCA) has become a crucial technique for evaluating environmental impacts across various stages of emerging clean production technologies and sustainable processes. This assessment plays a key role in guiding decision-making and policy development. Recent years have seen a substantial increase in such LCA investigations in the peer-reviewed literature. However, only a small fraction of these studies have transparently reported the foreground life cycle inventory (LCI) data of the technology under investigation. The available data are often poorly organized and lack a standard structure and metadata making them ambiguous and nonreusable. This leads to a situation where LCA outcomes must be accepted at face value due to irreplicable results. Currently, there are no standardized methods for publishing and sharing foreground LCIs with the relevant contextual information. To address this gap, this work develops a novel, minimalistic, user-centric, machineaccessible, and extensible schema based on the Brightway LCA framework to share the foreground LCI of standard (non-temporal) LCA investigations. In this schema, an inventory is made up of five components: dataset, dataset properties, metadata, dependencies, and network. A Python-based open-source tool has also been developed to convert LCIs according to the specifications of this schema. The proposed schema and the tool are demonstrated for the exemplary use case of an aviation fuel supply chain. This schema can improve the reusability and reliability of LCI datasets, a first step towards transparent, replicable, and robust LCA studies.",,,,,,,,,,,,,,,,ELSEVIER SCI LTD,London,"125 London Wall, London, ENGLAND",,,,,,AUG 15,2025,520.0,,,,,,,,146120,10.1016/j.jclepro.2025.146120,0,,JUL 2025,,,,,4XZ0M,,,,,,WOS:001529335900004,0,1,1,4.99,False
J,"Lu, FD; Zhao, MF; Liu, SG; Kang, P; Zhu, Y; Shen, WH; Zheng, W; Tan, YB",,,,"Lu, Feidong; Zhao, Meifang; Liu, Shuguang; Kang, Peng; Zhu, Yu; Shen, Wenhui; Zheng, Wei; Tan, Yibo",,,Life cycle inventory and carbon footprint assessment of rosin production in China,INDUSTRIAL CROPS AND PRODUCTS,,,,Article,,,,,,,,"With formaldehyde-based furniture adhesives facing increasing restrictions, rosin-a sustainable, biomass-derived alternative with excellent bonding properties-is gradually emerging as a viable substitute. However, comprehensive carbon footprint assessments for rosin production in China remain absent, hindering environmental impact quantification. This study presents a cradle-to-gate life cycle analysis (LCA) of the greenhouse gas (GHG) emissions of the rosin produced from pine resin in different regions of China using primary data from pine forest management, pine resin harvesting operations and resin processing facilities, taking into consideration regional variation in resin availability and logistics. Results reveal that rosin production generally emits 850.212 kgCO2eq/t excluding carbon sequestration during production, rosin production systems in China could capable to offset 2241.415 kg of CO2/t rosin (or mitigate 1.51 Tg of CO2eq/year in China), contributing great potential as nature climate solution pathway. Approximately 71.13 % of greenhouse gas emissions originate from compound fertilizer application during pine forest management and resin collection. Regional analysis identifies Guangxi, Guangdong, and Yunnan as critical emission hotspots requiring prioritized mitigation. Compared to synthetic resins (e.g., phenolic, C5), rosin demonstrates significant low-carbon advantages in production and application. To reduce environmental impacts, we propose: (1) replacing conventional fertilizers with slow-release or organic alternatives; (2) optimizing fertilizer dosage and application methods; (3) electrifying diesel-powered harvesting equipment and transport vehicles. This work provides actionable strategies for advancing sustainable rosin production in forestry sector.",,,,,,,,,,,,,,,,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,,,,,NOV 2,2025,236.0,,,,,,,,121849,10.1016/j.indcrop.2025.121849,0,,SEP 2025,,,,,7JK5D,,,,,,WOS:001572448500001,0,1,1,5.55,False
