Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,LCA_prediction,LCA_raw_response,LCA_elapsed_s,abstract_missing
S,"Manna, K; Dey, I; Samanta, K; Wan, CY",,"Wan, C; Guo, B",,"Manna, Kunal; Dey, Indranil; Samanta, Ketaki; Wan, Chaoying",,,Green Tyres,INNOVATIONS OF RUBBER CHEMISTRY AND TECHNOLOGY FOR SUSTAINABILITY,RSC Polymer Chemistry Series,,,,,,,,,,,,,,,,"Wan, Chaoying/O-6921-2015; SAMANTA, KETAKI/JOK-4874-2023",,,,,,,,,,,,,,2044-0790,2044-0804,978-1-83767-547-0; 978-1-83767-257-8,,,,2025,40.0,,,,,,287,340,,,,,,,,,,,,,,,,WOS:001718487800012,0,0,0,12.87,True
S,"Moini, N; Zohuriaan-Mehr, MJ; Jahandideh, A",,"Wang, A; Zhu, Y",,"Moini, N.; Zohuriaan-Mehr, M. J.; Jahandideh, Arash",,,Hygienic Superabsorbent Polymers: Recycling/Upcycling of Disposable Absorbent Products,"SUPERABSORBENT POLYMERS: Synthesis, Properties and Applications",RSC Polymer Chemistry Series,,,,,,,,,,,,,,,,"Zohuriaan-Mehr, Mohammad/AAX-4316-2021; Moini, Nasrin/H-1831-2019",,,,,,,,,,,,,,2044-0790,2044-0804,978-1-83767-767-2; 978-1-83767-415-2,,,,2025,42.0,,,,,,148,180,,,,,,,,,,,,,,,,WOS:001718518200006,0,0,0,2.17,True
S,"Dos Santos, MB; Aredes, RS; Eiriz, DN; Vasconcelos, SD; Marques, FFD; Duarte, LM; Lima, CGD; Lima, TD",,"Hussain, CM",,"Dos Santos, Mayane Barbosa; Aredes, Rafaella Silva; Eiriz, Debora Nascimento; Vasconcelos, Sancler da Costa; De Carvalho Marques, Flavia Ferreira; Duarte, Lucas Mattos; De Souza Lima, Carolina Guimaraes; Lima, Thiago De Melo",,,Green Solvents in Analytical Chemistry,GREEN ENVIRONMENTAL CHEMICAL ANALYSIS: Application of Sustainable Materials and Methods for the Analysis of Environmental Pollutants,RSC Green Chemistry Series,,,,,,,,,,,,,,,,"Marques, Flávia/J-9468-2012; Lima, Carolina/AAS-8564-2020; Duarte, Lucas/AAQ-8160-2020; da Costa Vasconcelos, Sancler/HIZ-7711-2022; Lima, Thiago/AAA-5398-2021",,,,,,,,,,,,,,1757-7039,1757-7047,978-1-83767-618-7; 978-1-83767-444-2,,,,2025,88.0,,,,,,28,50,,,,,,,,,,,,,,,,WOS:001715865300003,0,0,0,3.02,True
S,"Cotas, J; Lomartire, S; Pereira, L; Gonçalves, AMM",,"Vicente, FA; Pereira, JFB",,"Cotas, J.; Lomartire, S.; Pereira, L.; Goncalves, A. M. M.",,,Macroalgae,BLUE BIOREFINERIES AND SUSTAINABLE MARINE INDUSTRIES,RSC Green Chemistry Series,,,,,,,,,,,,,,,,"Cotas, João/C-1487-2019",,,,,,,,,,,,,,1757-7039,1757-7047,978-1-83767-819-8; 978-1-83767-484-8,,,,2025,90.0,,,,,,44,64,,,,,,,,,,,,,,,,WOS:001715046400004,0,0,0,2.16,True
S,"Srzentic, S; Urbancic, V; Likozar, B; Vicente, FA",,"Vicente, FA; Pereira, JFB",,"Srzentic, S.; Urbancic, V.; Likozar, B.; Vicente, F. A.",,,Crustacean Production and Waste Valorisation: A Sustainable Approach for the Seafood Industry,BLUE BIOREFINERIES AND SUSTAINABLE MARINE INDUSTRIES,RSC Green Chemistry Series,,,,,,,,,,,,,,,,"Vicente, Filipa/N-4635-2019",,,,,,,,,,,,,,1757-7039,1757-7047,978-1-83767-819-8; 978-1-83767-484-8,,,,2025,90.0,,,,,,78,108,,,,,,,,,,,,,,,,WOS:001715046400006,0,0,0,1.65,True
S,"Puhar, J; Vujanovic, A",,"Vicente, FA; Pereira, JFB",,"Puhar, J.; Vujanovic, A.",,,Life Cycle Assessment,BLUE BIOREFINERIES AND SUSTAINABLE MARINE INDUSTRIES,RSC Green Chemistry Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757-7039,1757-7047,978-1-83767-819-8; 978-1-83767-484-8,,,,2025,90.0,,,,,,348,366,,,,,,,,,,,,,,,,WOS:001715046400014,0,1,1,1.36,True
S,"Bosch, D; Girao, M; Carvalho, MF; Bilela, LL; Rotter, A",,"Vicente, FA; Pereira, JFB",,"Bosch, D.; Girao, M.; Carvalho, M. F.; Bilela, L. Lukic; Rotter, A.",,,Fish Waste and Macroalgal Biorefinery Perspectives for Industrial Implementation,BLUE BIOREFINERIES AND SUSTAINABLE MARINE INDUSTRIES,RSC Green Chemistry Series,,,,,,,,,,,,,,,,"Lukić Bilela, Lada/ABG-9295-2020",,,,,,,,,,,,,,1757-7039,1757-7047,978-1-83767-819-8; 978-1-83767-484-8,,,,2025,90.0,,,,,,459,494,,,,,,,,,,,,,,,,WOS:001715046400017,0,0,0,2.81,True
J,"Kane, S; Bin Thaneya, A; Gursel, AP; Fan, J; Bose, B; Hendrickson, TP; Nordahl, SL; Scown, CD; Miller, SA; Horvath, A",,,,"Kane, Seth; Bin Thaneya, Ahmad; Gursel, Aysegul Petek; Fan, Jin; Bose, Baishakhi; Hendrickson, Thomas P.; Nordahl, Sarah L.; Scown, Corinne D.; Miller, Sabbie A.; Horvath, Arpad",,,Uncertainty in determining carbon dioxide removal potential of biochar,ENVIRONMENTAL RESEARCH LETTERS,,,,,,,,,,,,"A quantitative and systematic assessment of uncertainty in life-cycle assessment is critical to informing sustainable development of carbon dioxide removal (CDR) technologies. Biochar is the most commonly sold form of CDR to date and it can be used in applications ranging from concrete to agricultural soil amendments. Previous analyses of biochar rely on modeled or estimated life-cycle data and suggest a cradle-to-gate range of 0.20-1.3 kg CO2 net removal per kg of biomass feedstock, with the range reported driven by differences in energy consumption, pyrolysis temperature, and feedstock sourcing. Herein, we quantify the distribution of CDR possible for biochar production with a compositional life-cycle inventory model paired with scenario-aware Monte Carlo simulation in a 'best practice' (incorporating lower transportation distances, high pyrolysis temperatures, high energy efficiency, recapture of energy for drying and pyrolysis energy requirements, and co-generation of heat and electricity) and 'poor practice' (higher transportation distances, lower pyrolysis temperatures, low energy efficiency, natural gas for energy requirements, and no energy recovery) scenarios. In the best-practice scenario, cradle-to-gate CDR (which is representative of the upper limit of removal across the entire life cycle) is highly certain, with a median removal of 1.4 kg of CO2e/kg biomass and results in net removal across the entire distribution. In contrast, the poor-practice scenario results in median net emissions of 0.090 kg CO2e/kg biomass. Whether this scenario emits (66% likelihood) or removes (34% likelihood) carbon dioxide is highly uncertain. The emission intensity of energy inputs to the pyrolysis process and whether the bio-oil co-product is used as a chemical feedstock or combusted are critical factors impacting the net carbon dioxide emissions of biochar production, together responsible for 98% of the difference between the best- and poor-practice scenarios.",,,,,"; Fan, Jin/JQV-4431-2023; Miller, Sabbie/AAI-9687-2021; Kane, Seth/JNS-3445-2023; Scown, Corinne/D-1253-2013","Bose, Baishakhi/0000-0002-6309-0088; Fan, Jin/0000-0003-4067-5953; Miller, Sabbie/0000-0001-6888-7312; Nordahl, Sarah/0000-0002-6870-4755; Horvath, Arpad/0000-0003-1340-7099; Hendrickson, Thomas/0009-0003-8637-9612; Kane, Seth/0000-0002-6940-1369; Bin Thaneya, Ahmad/0000-0002-7604-6123; Gursel, Aysegul P/0000-0002-2377-4792",,,,,,,,,,,,,1748-9326,,,,,JAN 1,2025,20.0,1,,,,,,,14062,10.1088/1748-9326/ad99e9,0.0,,,,,,,,,,,,,WOS:001385280200001,0,1,1,5.13,False
J,"Shirkey, G; Anctil, A; John, R; Kolluru, V; Mungai, L; Kashongwe, H; Cooper, LT; Celik, I; Fisher, JB; Chen, JQ",,,,"Shirkey, Gabriela; Anctil, Annick; John, Ranjeet; Kolluru, Venkatesh; Mungai, Leah; Kashongwe, Herve; Cooper, Lauren T.; Celik, Ilke; Fisher, Joshua B.; Chen, Jiquan",,,Identifying opportunities for nature-based solutions with geospatialized life cycle assessments and fine-scale socioecological data,ENVIRONMENTAL RESEARCH LETTERS,,,,,,,,,,,,"As we increasingly understand the impact that land management intensification has on local and global climate, the call for nature-based solutions (NbS) in agroecosystems has expanded. Moreover, the pressing need to determine when and where NbS should be used raises challenges to socioecological data integration as we overcome spatiotemporal resolutions. Natural and working lands is an effort promoting NbS, particularly emissions reduction and carbon stock maintenance in forests. To overcome the spatiotemporal limitation, we integrated life cycle assessments (LCA), an ecological carbon stock model, and a land cover land use change model to synthesize rates of global warming potential (GWP) within a fine-scale geographic area (30 m). We scaled National Agricultural Statistic Survey land management data to National Land Cover Data cropland extents to assess GWP of cropland management over time and among management units (i.e. counties and production systems). We found that cropland extent alone was not indicative of GWP emissions; rather, rates of management intensity, such as energy and fertilizer use, are greater indicators of anthropogenic GWP. We found production processes for fuel and fertilizers contributed 51.93% of GWP, where 33.58% GWP was estimated from N2O emissions after fertilization, and only 13.31% GWP was due to energy consumption by field equipment. This demonstrates that upstream processes in LCA should be considered in NbS with the relative contribution of fertilization to GWP. Additionally, while land cover change had minimal GWP effect, urbanization will replace croplands and forests where NbS are implemented. Fine-scale landscape variations are essential for NbS to identify, as they accumulate within regional and global estimates. As such, this study demonstrates the capability to harness both LCA and fine-resolution imagery for applications in spatiotemporal and socioecological research towards identifying and monitoring NbS.",,,,,"Kolluru, Venkatesh/AAZ-2114-2021; John, Ranjeet/Z-1070-2019; Chen, Jiquan/D-1955-2009; Anctil, Annick/AAT-3129-2020; Fisher, Joshua/AFM-8914-2022; Mungai, Leah/GNP-5192-2022; Kashongwe, Herve/GRF-5923-2022","Kolluru, Venkatesh/0000-0002-2110-5560; John, Ranjeet/0000-0002-0150-8450; Chen, Jiquan/0000-0003-0761-9458; Cooper, Lauren/0000-0002-9152-9457; Shirkey, Gabriela/0000-0001-6745-6529;",,,,,,,,,,,,,1748-9326,,,,,JAN 1,2025,20.0,1,,,,,,,14023,10.1088/1748-9326/ad959e,0.0,,,,,,,,,,,,,WOS:001377017600001,0,1,1,4.3,False
J,"Wang, L; Zhou, HY; Liu, XF; Mu, JK; Bi, JP; Jin, YK; Ge, J; Lv, YX",,,,"Wang, Lei; Zhou, Hongyang; Liu, Xiaofan; Mu, Junkun; Bi, Jinpeng; Jin, Youkang; Ge, Juan; Lv, Yuexia",,,Life Cycle Assessment of Solar-Assisted Post-Combustion CO2 Capture Using Hollow Fiber Membrane Contactors,FRONTIERS IN HEAT AND MASS TRANSFER,,,,,,,,,,,,"Membrane gas absorption and solar-assisted absorbent regeneration offer a sustainable approach to reduce the energy penalty of post-combustion CO2 capture. This study introduces a novel system integrating solar thermal energy with membrane gas absorption to capture CO2 from a 580 MWe pulverized coal power plant. The environmental impacts across six scenarios at varying solar fractions are evaluated via life cycle assessment. Results show a 7.61%-13.04% reduction in global warming potential compared to a steam-driven CO2 capture system. Electricity and steam consumption dominate the operational phase, contributing 15%-64% and 18%-61% to environmental impacts in non-TES scenarios, respectively. While TES reduces most impacts, it increases stratospheric ozone depletion and marine eutrophication due to nitrate-based phase change materials and monoethanolamine. Higher solar fractions lower impacts in non-TES scenarios but elevate specific impacts in TES scenarios, highlighting trade-offs for sustainable CO2 capture deployment.",,,,,,,,,,,,,,,,,,,2151-8629,,,,,,2025,23.0,6,,,,,1811,1832,,10.32604/fhmt.2025.071222,0.0,,,,,,,,,,,,,WOS:001719967300001,0,1,1,3.47,False
